Date,Close SPX,Close XLK,Price relative
2020-02-10,3352.09,101.04,0.030142389
2020-02-07,3327.71,99.69,0.029957538
2020-02-06,3345.78,100.61,0.030070716
2020-02-05,3334.69,99.7,0.029897832
2020-02-04,3297.59,99.12,0.030058315
2020-02-03,3248.92,96.59,0.029729879
2020-01-31,3225.52,95.33,0.029554924
2020-01-30,3283.66,98.02,0.029850837
2020-01-29,3273.4,97.18,0.029687786
2020-01-28,3276.24,96.93,0.029585745
2020-01-27,3243.63,95.11,0.029322087
2020-01-24,3295.47,97.43,0.029564827
2020-01-23,3325.54,97.89,0.029435821
2020-01-22,3321.75,97.43,0.029330925
2020-01-21,3320.79,97.08,0.029234008
2020-01-17,3329.62,97.12,0.029168494
2020-01-16,3316.81,96.47,0.029085175
2020-01-15,3289.29,95.19,0.028939376
2020-01-14,3283.15,95.08,0.028959993
2020-01-13,3288.13,95.53,0.029052988
2020-01-10,3265.35,94.35,0.028894299
2020-01-09,3274.7,94.57,0.028878981
2020-01-08,3253.05,93.51,0.028745331
2020-01-07,3237.18,92.52,0.028580431
2020-01-06,3246.28,92.56,0.028512636
2020-01-03,3234.85,92.34,0.028545373
2020-01-02,3257.85,93.39,0.028666145
2019-12-31,3230.78,91.67,0.028373953
2019-12-30,3221.29,91.38,0.028367517
2019-12-27,3240.02,91.91,0.028367109
2019-12-26,3239.91,91.92,0.028371158
2019-12-24,3223.38,91.24,0.028305692
2019-12-23,3224.01,91.21,0.028290855
2019-12-20,3221.22,90.95,0.028234644
2019-12-19,3205.37,90.72,0.028302505
2019-12-18,3191.14,90.07,0.028225023
2019-12-17,3192.52,90.08,0.028215955
2019-12-16,3191.45,90.29,0.028291216
2019-12-13,3168.8,89.49,0.028240975
2019-12-12,3168.57,88.9,0.028056821
2019-12-11,3141.63,87.96,0.027998205
2019-12-10,3132.52,87.37,0.027891282
2019-12-09,3135.96,87.3,0.027838365
2019-12-06,3145.91,87.76,0.027896539
2019-12-05,3117.43,86.8,0.027843448
2019-12-04,3112.76,86.48,0.027782418
2019-12-03,3093.2,86.13,0.02784495
2019-12-02,3113.87,86.9,0.027907395
2019-11-29,3140.98,88.16,0.028067673
2019-11-27,3153.63,88.42,0.028037531
2019-11-26,3140.52,87.93,0.027998548
2019-11-25,3133.64,87.85,0.02803449
2019-11-22,3110.29,86.59,0.027839848
